Pop,Group,Shape,Fill,Color,Transparency,Size,Country,Region
Maltese.HO,modern,16,Grey,Grey,0.8,1.5,Malta,Malta Island
Mansi.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Khanty-Mansi Autonomous Okrug
Mansi.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Khanty-Mansi Autonomous Okrug
Miao.DG,modern,16,Grey,Grey,0.8,1.5,China,Guizhou and Guangxi
Miao.HO,modern,16,Grey,Grey,0.8,1.5,China,Guizhou and Guangxi
Moldavian.HO,modern,16,Grey,Grey,0.8,1.5,Moldova,Moldova
Mongola.DG,modern,16,Grey,Grey,0.8,1.5,China,Inner Mongolia
Mongola.HO,modern,16,Grey,Grey,0.8,1.5,China,Inner Mongolia
Mongol.HO,modern,16,Grey,Grey,0.8,1.5,Mongolia,Mongolia
Mordovian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Mordovia
Nanai.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Khabarovsk Krai
Naxi.DG,modern,16,Grey,Grey,0.8,1.5,China,Yunnan Province
Naxi.HO,modern,16,Grey,Grey,0.8,1.5,China,Yunnan Province
Negidal.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Khabarovsk Krai
Nganasan.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Taimyr Peninsula
Nivh.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Sakhalin and Khabarovsk Krai
Norwegian.DG,modern,16,Grey,Grey,0.8,1.5,Norway,Norway
Norwegian.HO,modern,16,Grey,Grey,0.8,1.5,Norway,Norway
Orcadian.DG,modern,16,Grey,Grey,0.8,1.5,United Kingdom,Orkney Islands
Orcadian.HO,modern,16,Grey,Grey,0.8,1.5,United Kingdom,Orkney Islands
Oroqen.DG,modern,16,Grey,Grey,0.8,1.5,China,Inner Mongolia and Heilongjiang
Oroqen.HO,modern,16,Grey,Grey,0.8,1.5,China,Inner Mongolia and Heilongjiang
Ossetian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,North Ossetia–Alania
Polish.DG,modern,16,Grey,Grey,0.8,1.5,Poland,Poland
Romanian.HO,modern,16,Grey,Grey,0.8,1.5,Romania,Romania
Russian_Archangelsk_Krasnoborsky.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Arkhangelsk Oblast - Krasnoborsky District
Russian_Archangelsk_Leshukonsky.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Arkhangelsk Oblast - Leshukonsky District
Russian_Archangelsk_Pinezhsky.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Arkhangelsk Oblast - Pinezhsky District
Russian.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Central Russian region
Russian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Central Russian region
Saami.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Murmansk Oblast
Saami.WGA.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Murmansk Oblast
Sardinian.DG,modern,16,Grey,Grey,0.8,1.5,Italy,Sardinia
Sardinian.HO,modern,16,Grey,Grey,0.8,1.5,Italy,Sardinia
Scottish.HO,modern,16,Grey,Grey,0.8,1.5,United Kingdom,Scotland
Selkup.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Tomsk Oblast and Yamalo-Nenets
She.DG,modern,16,Grey,Grey,0.8,1.5,China,"Fujian, Zhejiang, Jiangxi Provinces"
She.HO,modern,16,Grey,Grey,0.8,1.5,China,"Fujian, Zhejiang, Jiangxi Provinces"
Sherpa.HO,modern,16,Grey,Grey,0.8,1.5,Nepal,"Solukhumbu District, Himalayas"
Shor_Khakassia.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Khakassia
Shor_Mountain.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Kemerovo Oblast (Mountain Shoria)
Sicilian.HO,modern,16,Grey,Grey,0.8,1.5,Italy,Sicily
Spanish.DG,modern,16,Grey,Grey,0.8,1.5,Spain,Spain
Spanish.HO,modern,16,Grey,Grey,0.8,1.5,Spain,Spain
Spanish_North.HO,modern,16,Grey,Grey,0.8,1.5,Spain,Spain
Tabasaran.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Dagestan
Tajik.DG,modern,16,Grey,Grey,0.8,1.5,Tajikistan,Tajikistan
Tajik.HO,modern,16,Grey,Grey,0.8,1.5,Tajikistan,Tajikistan
Tajik.SG,modern,16,Grey,Grey,0.8,1.5,Tajikistan,Tajikistan
Tatar_Kazan.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Tatarstan (Kazan)
Tatar_Mishar.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Mordovia and Penza Oblast
Tatar_Siberian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,"Siberia (e.g., Tyumen, Omsk)"
Tatar_Siberian_Zabolotniye.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Siberia (Zabolotniye region)
Thai.DG,modern,16,Grey,Grey,0.8,1.5,Thailand,Thailand
Thai.HO,modern,16,Grey,Grey,0.8,1.5,Thailand,Thailand
Tibetan.HO,modern,16,Grey,Grey,0.8,1.5,China,Tibet Autonomous Region
Todzin.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Tuva Republic (Todzhinsky District)
Tofalar.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Irkutsk Oblast
Tubalar.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Altai Republic
Tubalar.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Altai Republic
Tu.DG,modern,16,Grey,Grey,0.8,1.5,China,Qinghai and Gansu Provinces
Tu.HO,modern,16,Grey,Grey,0.8,1.5,China,Qinghai and Gansu Provinces
Tujia.DG,modern,16,Grey,Grey,0.8,1.5,China,Hunan and Hubei Provinces
Tujia.HO,modern,16,Grey,Grey,0.8,1.5,China,Hunan and Hubei Provinces
Turkish_Balikesir.HO,modern,16,Grey,Grey,0.8,1.5,Turkey,Balikeser
Turkish.DG,modern,16,Grey,Grey,0.8,1.5,Turkey,Turkey
Turkish.HO,modern,16,Grey,Grey,0.8,1.5,Turkey,Turkey
Turkmen.HO,modern,16,Grey,Grey,0.8,1.5,Turkmenistan,Turkmenistan
Turkmen.SG,modern,16,Grey,Grey,0.8,1.5,Turkmenistan,Turkmenistan
Tuvinian.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Tuva Republic
Udmurt.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Udmurt Republic
Ukrainian.HO,modern,16,Grey,Grey,0.8,1.5,Ukraine,Ukraine
Ulchi.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Khabarovsk Krai
Ulchi.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Khabarovsk Krai
Uyghur.DG,modern,16,Grey,Grey,0.8,1.5,China,Xinjiang Uyghur Autonomous Region
Uyghur.HO,modern,16,Grey,Grey,0.8,1.5,China,Xinjiang Uyghur Autonomous Region
Uyghur.SG,modern,16,Grey,Grey,0.8,1.5,China,Xinjiang Uyghur Autonomous Region
Uzbek.HO,modern,16,Grey,Grey,0.8,1.5,Uzbekistan,Uzbekistan
Uzbek.SG,modern,16,Grey,Grey,0.8,1.5,Uzbekistan,Uzbekistan
Veps.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Republic of Karelia and Leningrad Oblast
Xibo.DG,modern,16,Grey,Grey,0.8,1.5,China,Xinjiang and Liaoning Provinces
Xibo.HO,modern,16,Grey,Grey,0.8,1.5,China,Xinjiang and Liaoning Provinces
Yakut.DG,modern,16,Grey,Grey,0.8,1.5,Russia,Sakha Republic (Yakutia)
Yakut.HO,modern,16,Grey,Grey,0.8,1.5,Russia,Sakha Republic (Yakutia)
Yi.DG,modern,16,Grey,Grey,0.8,1.5,China,"Yunnan, Sichuan, and Guizhou Provinces"
Yi.HO,modern,16,Grey,Grey,0.8,1.5,China,"Yunnan, Sichuan, and Guizhou Provinces"
,,,,,, ,,
